
============================================================
π/2 Hebbian Training Setup
============================================================
GPU: Tesla P40 (23.9GB)

Model: 1.57B (2304h, 24L)
π/2 Model Created
  Parameters: 1,681,224,192
  Hidden: 2304
  Layers: 24
  Heads: 18
  Weight std (expected): 0.012732
  Weight std (actual):   0.012731
  π/2 = 1.570796

Applying π/2 phase quantization...
  Magnitude params: 1,831,993,344
  Memory estimate: 7328.0 MB

Resuming from: output_model_a/checkpoints/hebbian_step_5000A.pt
  Loaded checkpoint from step 5000
  Previous avg loss: 0.0978

GPU memory used: 9.16 GB

Loading data: Training PI/Phase2(A-TalkSmart)/pi_encoded_phase2.jsonl

============================================================
Starting π/2 Hebbian Training
============================================================
Learning rate: 0.001
Steps: 5000
Rotation angles: [0.0, 1.570796, 3.141593, 4.712389]
============================================================

Step 1740/5000 | Consistency: 0.0447 | Avg: 0.0537 | Samples/s: 1
Step 1750/5000 | Consistency: 0.0438 | Avg: 0.0537 | Samples/s: 1
Step 1760/5000 | Consistency: 0.0794 | Avg: 0.0537 | Samples/s: 1
Step 1770/5000 | Consistency: 0.0314 | Avg: 0.0536 | Samples/s: 1
Step 1780/5000 | Consistency: 0.0352 | Avg: 0.0535 | Samples/s: 1
Step 1790/5000 | Consistency: 0.0562 | Avg: 0.0535 | Samples/s: 1
Step 1800/5000 | Consistency: 0.0519 | Avg: 0.0535 | Samples/s: 1
Step 1810/5000 | Consistency: 0.0324 | Avg: 0.0534 | Samples/s: 1
Step 1820/5000 | Consistency: 0.0441 | Avg: 0.0533 | Samples/s: 1
Step 1830/5000 | Consistency: 0.0415 | Avg: 0.0533 | Samples/s: 1
Step 1840/5000 | Consistency: 0.0566 | Avg: 0.0532 | Samples/s: 1
Step 1850/5000 | Consistency: 0.0399 | Avg: 0.0531 | Samples/s: 1
Step 1860/5000 | Consistency: 0.0624 | Avg: 0.0532 | Samples/s: 1
Step 1870/5000 | Consistency: 0.0693 | Avg: 0.0532 | Samples/s: 1
Step 1880/5000 | Consistency: 0.0668 | Avg: 0.0532 | Samples/s: 1
Step 1890/5000 | Consistency: 0.0523 | Avg: 0.0533 | Samples/s: 1
Step 1900/5000 | Consistency: 0.0387 | Avg: 0.0532 | Samples/s: 1
Step 1910/5000 | Consistency: 0.0468 | Avg: 0.0532 | Samples/s: 1
Step 1920/5000 | Consistency: 0.0714 | Avg: 0.0532 | Samples/s: 1
Step 1930/5000 | Consistency: 0.0315 | Avg: 0.0531 | Samples/s: 1
Step 1940/5000 | Consistency: 0.0344 | Avg: 0.0530 | Samples/s: 1
Step 1950/5000 | Consistency: 0.0504 | Avg: 0.0530 | Samples/s: 1
Step 1960/5000 | Consistency: 0.0624 | Avg: 0.0530 | Samples/s: 1
Step 1970/5000 | Consistency: 0.0367 | Avg: 0.0530 | Samples/s: 1
Step 1980/5000 | Consistency: 0.0530 | Avg: 0.0530 | Samples/s: 1
Step 1990/5000 | Consistency: 0.0439 | Avg: 0.0530 | Samples/s: 1
Step 2000/5000 | Consistency: 0.0489 | Avg: 0.0529 | Samples/s: 1
  → Saved checkpoint: hebbian_step_2000.pt
Step 2010/5000 | Consistency: 0.0402 | Avg: 0.0528 | Samples/s: 1
Step 2020/5000 | Consistency: 0.0451 | Avg: 0.0528 | Samples/s: 1
Step 2030/5000 | Consistency: 0.0441 | Avg: 0.0528 | Samples/s: 1
Step 2040/5000 | Consistency: 0.0462 | Avg: 0.0527 | Samples/s: 1
Step 2050/5000 | Consistency: 0.0498 | Avg: 0.0527 | Samples/s: 1
Step 2060/5000 | Consistency: 0.0367 | Avg: 0.0526 | Samples/s: 1
Step 2070/5000 | Consistency: 0.0447 | Avg: 0.0526 | Samples/s: 1
Step 2080/5000 | Consistency: 0.0693 | Avg: 0.0526 | Samples/s: 1
Step 2090/5000 | Consistency: 0.0352 | Avg: 0.0526 | Samples/s: 1
Step 2100/5000 | Consistency: 0.0404 | Avg: 0.0525 | Samples/s: 1
Step 2110/5000 | Consistency: 0.0635 | Avg: 0.0525 | Samples/s: 1
Step 2120/5000 | Consistency: 0.0611 | Avg: 0.0526 | Samples/s: 1
Step 2130/5000 | Consistency: 0.0356 | Avg: 0.0525 | Samples/s: 1
Step 2140/5000 | Consistency: 0.0512 | Avg: 0.0525 | Samples/s: 1
Step 2150/5000 | Consistency: 0.0465 | Avg: 0.0525 | Samples/s: 1
Step 2160/5000 | Consistency: 0.0488 | Avg: 0.0525 | Samples/s: 1
Step 2170/5000 | Consistency: 0.0445 | Avg: 0.0524 | Samples/s: 1
Step 2180/5000 | Consistency: 0.0533 | Avg: 0.0524 | Samples/s: 1
Step 2190/5000 | Consistency: 0.0449 | Avg: 0.0524 | Samples/s: 1
Step 2200/5000 | Consistency: 0.0551 | Avg: 0.0524 | Samples/s: 1
Step 2210/5000 | Consistency: 0.0585 | Avg: 0.0524 | Samples/s: 1
Step 2220/5000 | Consistency: 0.0415 | Avg: 0.0524 | Samples/s: 1
Step 2230/5000 | Consistency: 0.0392 | Avg: 0.0523 | Samples/s: 1
Step 2240/5000 | Consistency: 0.0702 | Avg: 0.0523 | Samples/s: 1
Step 2250/5000 | Consistency: 0.0381 | Avg: 0.0523 | Samples/s: 1
Step 2260/5000 | Consistency: 0.0458 | Avg: 0.0523 | Samples/s: 1
Step 2270/5000 | Consistency: 0.0693 | Avg: 0.0523 | Samples/s: 1
Step 2280/5000 | Consistency: 0.0582 | Avg: 0.0524 | Samples/s: 1
Step 2290/5000 | Consistency: 0.0414 | Avg: 0.0524 | Samples/s: 1
Step 2300/5000 | Consistency: 0.0612 | Avg: 0.0524 | Samples/s: 1
Step 2310/5000 | Consistency: 0.0502 | Avg: 0.0524 | Samples/s: 1
Step 2320/5000 | Consistency: 0.0551 | Avg: 0.0524 | Samples/s: 1
Step 2330/5000 | Consistency: 0.0441 | Avg: 0.0523 | Samples/s: 1
Step 2340/5000 | Consistency: 0.0433 | Avg: 0.0524 | Samples/s: 1
Step 2350/5000 | Consistency: 0.0434 | Avg: 0.0523 | Samples/s: 1
Step 2360/5000 | Consistency: 0.0488 | Avg: 0.0523 | Samples/s: 1
Step 2370/5000 | Consistency: 0.0605 | Avg: 0.0523 | Samples/s: 1
Step 2380/5000 | Consistency: 0.0530 | Avg: 0.0523 | Samples/s: 1
Step 2390/5000 | Consistency: 0.0515 | Avg: 0.0523 | Samples/s: 1
Step 2400/5000 | Consistency: 0.1072 | Avg: 0.0524 | Samples/s: 1
Step 2410/5000 | Consistency: 0.0377 | Avg: 0.0524 | Samples/s: 1
Step 2420/5000 | Consistency: 0.0397 | Avg: 0.0523 | Samples/s: 1
Step 2430/5000 | Consistency: 0.0631 | Avg: 0.0523 | Samples/s: 1
Step 2440/5000 | Consistency: 0.0829 | Avg: 0.0524 | Samples/s: 1
Step 2450/5000 | Consistency: 0.0465 | Avg: 0.0525 | Samples/s: 1
Step 2460/5000 | Consistency: 0.0779 | Avg: 0.0526 | Samples/s: 1
Step 2470/5000 | Consistency: 0.0516 | Avg: 0.0527 | Samples/s: 1
Step 2480/5000 | Consistency: 0.0617 | Avg: 0.0526 | Samples/s: 1
Step 2490/5000 | Consistency: 0.0450 | Avg: 0.0526 | Samples/s: 1
Step 2500/5000 | Consistency: 0.0490 | Avg: 0.0527 | Samples/s: 1
  → Saved checkpoint: hebbian_step_2500.pt
Step 2510/5000 | Consistency: 0.0452 | Avg: 0.0526 | Samples/s: 1
