
============================================================
π/2 Hebbian Training Setup
============================================================
GPU: Tesla P40 (23.9GB)

Model: 1.57B (2304h, 24L)
π/2 Model Created
  Parameters: 1,681,224,192
  Hidden: 2304
  Layers: 24
  Heads: 18
  Weight std (expected): 0.012732
  Weight std (actual):   0.012730
  π/2 = 1.570796

Applying π/2 phase quantization...
  Magnitude params: 1,831,993,344
  Memory estimate: 7328.0 MB

Resuming from: output_model_b/checkpoints/hebbian_step_5000B.pt
  Loaded checkpoint from step 5000
  Previous avg loss: 0.0910

GPU memory used: 9.16 GB

Loading data: Training PI/Phase2(A-TalkSmart)/pi_encoded_phase2.jsonl

============================================================
Starting π/2 Hebbian Training
============================================================
Learning rate: 0.001
Steps: 5000
Rotation angles: [0.0, 1.570796, 3.141593, 4.712389]
============================================================

Step 1430/5000 | Consistency: 0.0467 | Avg: 0.0678 | Samples/s: 1
Step 1440/5000 | Consistency: 0.0656 | Avg: 0.0677 | Samples/s: 1
Step 1450/5000 | Consistency: 0.0468 | Avg: 0.0677 | Samples/s: 1
Step 1460/5000 | Consistency: 0.0389 | Avg: 0.0676 | Samples/s: 1
Step 1470/5000 | Consistency: 0.0458 | Avg: 0.0674 | Samples/s: 1
Step 1480/5000 | Consistency: 0.1994 | Avg: 0.0677 | Samples/s: 1
Step 1490/5000 | Consistency: 0.0537 | Avg: 0.0678 | Samples/s: 1
Step 1500/5000 | Consistency: 0.0565 | Avg: 0.0677 | Samples/s: 1
  → Saved checkpoint: hebbian_step_1500.pt
Step 1510/5000 | Consistency: 0.1730 | Avg: 0.0679 | Samples/s: 1
Step 1520/5000 | Consistency: 0.1473 | Avg: 0.0682 | Samples/s: 1
Step 1530/5000 | Consistency: 0.0505 | Avg: 0.0681 | Samples/s: 1
Step 1540/5000 | Consistency: 0.0704 | Avg: 0.0681 | Samples/s: 1
Step 1550/5000 | Consistency: 0.0854 | Avg: 0.0682 | Samples/s: 1
Step 1560/5000 | Consistency: 0.0538 | Avg: 0.0682 | Samples/s: 1
Step 1570/5000 | Consistency: 0.0388 | Avg: 0.0681 | Samples/s: 1
Step 1580/5000 | Consistency: 0.0717 | Avg: 0.0680 | Samples/s: 1
Step 1590/5000 | Consistency: 0.0455 | Avg: 0.0680 | Samples/s: 1
Step 1600/5000 | Consistency: 0.0567 | Avg: 0.0678 | Samples/s: 1
Step 1610/5000 | Consistency: 0.0547 | Avg: 0.0680 | Samples/s: 1
Step 1620/5000 | Consistency: 0.0536 | Avg: 0.0680 | Samples/s: 1
Step 1630/5000 | Consistency: 0.0674 | Avg: 0.0679 | Samples/s: 1
Step 1640/5000 | Consistency: 0.1189 | Avg: 0.0680 | Samples/s: 1
Step 1650/5000 | Consistency: 0.0500 | Avg: 0.0680 | Samples/s: 1
Step 1660/5000 | Consistency: 0.0529 | Avg: 0.0679 | Samples/s: 1
Step 1670/5000 | Consistency: 0.1583 | Avg: 0.0680 | Samples/s: 1
Step 1680/5000 | Consistency: 0.1374 | Avg: 0.0682 | Samples/s: 1
Step 1690/5000 | Consistency: 0.0462 | Avg: 0.0681 | Samples/s: 1
Step 1700/5000 | Consistency: 0.0589 | Avg: 0.0681 | Samples/s: 1
Step 1710/5000 | Consistency: 0.0697 | Avg: 0.0681 | Samples/s: 1
Step 1720/5000 | Consistency: 0.0513 | Avg: 0.0680 | Samples/s: 1
Step 1730/5000 | Consistency: 0.0671 | Avg: 0.0679 | Samples/s: 1
Step 1740/5000 | Consistency: 0.0646 | Avg: 0.0681 | Samples/s: 1
Step 1750/5000 | Consistency: 0.0529 | Avg: 0.0681 | Samples/s: 1
Step 1760/5000 | Consistency: 0.0762 | Avg: 0.0680 | Samples/s: 1
Step 1770/5000 | Consistency: 0.0561 | Avg: 0.0681 | Samples/s: 1
Step 1780/5000 | Consistency: 0.0528 | Avg: 0.0681 | Samples/s: 1
Step 1790/5000 | Consistency: 0.0726 | Avg: 0.0680 | Samples/s: 1
Step 1800/5000 | Consistency: 0.1052 | Avg: 0.0681 | Samples/s: 1
Step 1810/5000 | Consistency: 0.0527 | Avg: 0.0681 | Samples/s: 1
Step 1820/5000 | Consistency: 0.0579 | Avg: 0.0680 | Samples/s: 1
Step 1830/5000 | Consistency: 0.0979 | Avg: 0.0680 | Samples/s: 1
Step 1840/5000 | Consistency: 0.0988 | Avg: 0.0681 | Samples/s: 1
Step 1850/5000 | Consistency: 0.0415 | Avg: 0.0680 | Samples/s: 1
Step 1860/5000 | Consistency: 0.1449 | Avg: 0.0681 | Samples/s: 1
Step 1870/5000 | Consistency: 0.1059 | Avg: 0.0684 | Samples/s: 1
Step 1880/5000 | Consistency: 0.0684 | Avg: 0.0685 | Samples/s: 1
Step 1890/5000 | Consistency: 0.0663 | Avg: 0.0686 | Samples/s: 1
Step 1900/5000 | Consistency: 0.0813 | Avg: 0.0687 | Samples/s: 1
Step 1910/5000 | Consistency: 0.0622 | Avg: 0.0688 | Samples/s: 1
Step 1920/5000 | Consistency: 0.0804 | Avg: 0.0687 | Samples/s: 1
Step 1930/5000 | Consistency: 0.0634 | Avg: 0.0688 | Samples/s: 1
Step 1940/5000 | Consistency: 0.0621 | Avg: 0.0689 | Samples/s: 1
Step 1950/5000 | Consistency: 0.0630 | Avg: 0.0688 | Samples/s: 1
Step 1960/5000 | Consistency: 0.1796 | Avg: 0.0691 | Samples/s: 1
Step 1970/5000 | Consistency: 0.0739 | Avg: 0.0691 | Samples/s: 1
Step 1980/5000 | Consistency: 0.0659 | Avg: 0.0691 | Samples/s: 1
Step 1990/5000 | Consistency: 0.1198 | Avg: 0.0691 | Samples/s: 1
Step 2000/5000 | Consistency: 0.1163 | Avg: 0.0693 | Samples/s: 1
  → Saved checkpoint: hebbian_step_2000.pt
Step 2010/5000 | Consistency: 0.0535 | Avg: 0.0693 | Samples/s: 1
Step 2020/5000 | Consistency: 0.0834 | Avg: 0.0693 | Samples/s: 1
Step 2030/5000 | Consistency: 0.0889 | Avg: 0.0694 | Samples/s: 1
Step 2040/5000 | Consistency: 0.0705 | Avg: 0.0694 | Samples/s: 1
Step 2050/5000 | Consistency: 0.0736 | Avg: 0.0694 | Samples/s: 1
Step 2060/5000 | Consistency: 0.0616 | Avg: 0.0695 | Samples/s: 1
Step 2070/5000 | Consistency: 0.0612 | Avg: 0.0695 | Samples/s: 1
Step 2080/5000 | Consistency: 0.1008 | Avg: 0.0695 | Samples/s: 1
Step 2090/5000 | Consistency: 0.0729 | Avg: 0.0698 | Samples/s: 1
Step 2100/5000 | Consistency: 0.0822 | Avg: 0.0699 | Samples/s: 1
Step 2110/5000 | Consistency: 0.0960 | Avg: 0.0700 | Samples/s: 1
Step 2120/5000 | Consistency: 0.2030 | Avg: 0.0703 | Samples/s: 1
Step 2130/5000 | Consistency: 0.0994 | Avg: 0.0705 | Samples/s: 1
Step 2140/5000 | Consistency: 0.0983 | Avg: 0.0706 | Samples/s: 1
Step 2150/5000 | Consistency: 0.1358 | Avg: 0.0708 | Samples/s: 1
Step 2160/5000 | Consistency: 0.1353 | Avg: 0.0710 | Samples/s: 1
Step 2170/5000 | Consistency: 0.0597 | Avg: 0.0710 | Samples/s: 1
Step 2180/5000 | Consistency: 0.1074 | Avg: 0.0711 | Samples/s: 1
Step 2190/5000 | Consistency: 0.0990 | Avg: 0.0713 | Samples/s: 1
Step 2200/5000 | Consistency: 0.0791 | Avg: 0.0713 | Samples/s: 1
Step 2210/5000 | Consistency: 0.0724 | Avg: 0.0714 | Samples/s: 1
Step 2220/5000 | Consistency: 0.0990 | Avg: 0.0716 | Samples/s: 1
Step 2230/5000 | Consistency: 0.0793 | Avg: 0.0717 | Samples/s: 1
Step 2240/5000 | Consistency: 0.1375 | Avg: 0.0718 | Samples/s: 1
Step 2250/5000 | Consistency: 0.0668 | Avg: 0.0720 | Samples/s: 1
Step 2260/5000 | Consistency: 0.0843 | Avg: 0.0721 | Samples/s: 1
Step 2270/5000 | Consistency: 0.1079 | Avg: 0.0721 | Samples/s: 1
Step 2280/5000 | Consistency: 0.1747 | Avg: 0.0724 | Samples/s: 1
Step 2290/5000 | Consistency: 0.0935 | Avg: 0.0724 | Samples/s: 1
Step 2300/5000 | Consistency: 0.0707 | Avg: 0.0724 | Samples/s: 1
Step 2310/5000 | Consistency: 0.1019 | Avg: 0.0724 | Samples/s: 1
Step 2320/5000 | Consistency: 0.0916 | Avg: 0.0725 | Samples/s: 1
Step 2330/5000 | Consistency: 0.0534 | Avg: 0.0724 | Samples/s: 1
Step 2340/5000 | Consistency: 0.0824 | Avg: 0.0724 | Samples/s: 1
Step 2350/5000 | Consistency: 0.1163 | Avg: 0.0726 | Samples/s: 1
Step 2360/5000 | Consistency: 0.0739 | Avg: 0.0726 | Samples/s: 1
Step 2370/5000 | Consistency: 0.1017 | Avg: 0.0726 | Samples/s: 1
Step 2380/5000 | Consistency: 0.0786 | Avg: 0.0729 | Samples/s: 1
Step 2390/5000 | Consistency: 0.0684 | Avg: 0.0729 | Samples/s: 1
Step 2400/5000 | Consistency: 0.1553 | Avg: 0.0730 | Samples/s: 1
Step 2410/5000 | Consistency: 0.0691 | Avg: 0.0731 | Samples/s: 1
Step 2420/5000 | Consistency: 0.0804 | Avg: 0.0732 | Samples/s: 1
Step 2430/5000 | Consistency: 0.1320 | Avg: 0.0733 | Samples/s: 1
Step 2440/5000 | Consistency: 0.2230 | Avg: 0.0737 | Samples/s: 1
Step 2450/5000 | Consistency: 0.0958 | Avg: 0.0737 | Samples/s: 1
Step 2460/5000 | Consistency: 0.1531 | Avg: 0.0738 | Samples/s: 1
Step 2470/5000 | Consistency: 0.1191 | Avg: 0.0741 | Samples/s: 1
Step 2480/5000 | Consistency: 0.0912 | Avg: 0.0741 | Samples/s: 1
Step 2490/5000 | Consistency: 0.0544 | Avg: 0.0741 | Samples/s: 1
Step 2500/5000 | Consistency: 0.0847 | Avg: 0.0741 | Samples/s: 1
  → Saved checkpoint: hebbian_step_2500.pt
Step 2510/5000 | Consistency: 0.0671 | Avg: 0.0741 | Samples/s: 1
Step 2520/5000 | Consistency: 0.0730 | Avg: 0.0741 | Samples/s: 1
Step 2530/5000 | Consistency: 0.0981 | Avg: 0.0742 | Samples/s: 1
Step 2540/5000 | Consistency: 0.0783 | Avg: 0.0744 | Samples/s: 1
Step 2550/5000 | Consistency: 0.0848 | Avg: 0.0744 | Samples/s: 1
Step 2560/5000 | Consistency: 0.1931 | Avg: 0.0746 | Samples/s: 1
Step 2570/5000 | Consistency: 0.0967 | Avg: 0.0746 | Samples/s: 1
Step 2580/5000 | Consistency: 0.0716 | Avg: 0.0747 | Samples/s: 1
Step 2590/5000 | Consistency: 0.1652 | Avg: 0.0749 | Samples/s: 1
Step 2600/5000 | Consistency: 0.1602 | Avg: 0.0751 | Samples/s: 1
Step 2610/5000 | Consistency: 0.0884 | Avg: 0.0751 | Samples/s: 1
Step 2620/5000 | Consistency: 0.0790 | Avg: 0.0751 | Samples/s: 1
Step 2630/5000 | Consistency: 0.1149 | Avg: 0.0752 | Samples/s: 1
Step 2640/5000 | Consistency: 0.0673 | Avg: 0.0751 | Samples/s: 1
Step 2650/5000 | Consistency: 0.0541 | Avg: 0.0751 | Samples/s: 1
Step 2660/5000 | Consistency: 0.0980 | Avg: 0.0751 | Samples/s: 1
Step 2670/5000 | Consistency: 0.0932 | Avg: 0.0752 | Samples/s: 1
Step 2680/5000 | Consistency: 0.0762 | Avg: 0.0752 | Samples/s: 1
Step 2690/5000 | Consistency: 0.1220 | Avg: 0.0752 | Samples/s: 1
Step 2700/5000 | Consistency: 0.0829 | Avg: 0.0755 | Samples/s: 1
Step 2710/5000 | Consistency: 0.0850 | Avg: 0.0756 | Samples/s: 1
Step 2720/5000 | Consistency: 0.2103 | Avg: 0.0758 | Samples/s: 1
Step 2730/5000 | Consistency: 0.0682 | Avg: 0.0761 | Samples/s: 1
Step 2740/5000 | Consistency: 0.0823 | Avg: 0.0761 | Samples/s: 1
Step 2750/5000 | Consistency: 0.1580 | Avg: 0.0762 | Samples/s: 1
Step 2760/5000 | Consistency: 0.1565 | Avg: 0.0764 | Samples/s: 1
Step 2770/5000 | Consistency: 0.0858 | Avg: 0.0765 | Samples/s: 1
Step 2780/5000 | Consistency: 0.0820 | Avg: 0.0765 | Samples/s: 1
Step 2790/5000 | Consistency: 0.2217 | Avg: 0.0767 | Samples/s: 1
Step 2800/5000 | Consistency: 0.1445 | Avg: 0.0769 | Samples/s: 1
Step 2810/5000 | Consistency: 0.1427 | Avg: 0.0770 | Samples/s: 1
Step 2820/5000 | Consistency: 0.0868 | Avg: 0.0773 | Samples/s: 1
Step 2830/5000 | Consistency: 0.0567 | Avg: 0.0773 | Samples/s: 1
Step 2840/5000 | Consistency: 0.0756 | Avg: 0.0772 | Samples/s: 1
Step 2850/5000 | Consistency: 0.0593 | Avg: 0.0771 | Samples/s: 1
Step 2860/5000 | Consistency: 0.0829 | Avg: 0.0772 | Samples/s: 1
Step 2870/5000 | Consistency: 0.0700 | Avg: 0.0772 | Samples/s: 1
Step 2880/5000 | Consistency: 0.1380 | Avg: 0.0772 | Samples/s: 1
Step 2890/5000 | Consistency: 0.0538 | Avg: 0.0773 | Samples/s: 1
Step 2900/5000 | Consistency: 0.0642 | Avg: 0.0773 | Samples/s: 1
Step 2910/5000 | Consistency: 0.1605 | Avg: 0.0773 | Samples/s: 1
Step 2920/5000 | Consistency: 0.1912 | Avg: 0.0776 | Samples/s: 1
Step 2930/5000 | Consistency: 0.0884 | Avg: 0.0776 | Samples/s: 1
Step 2940/5000 | Consistency: 0.0945 | Avg: 0.0776 | Samples/s: 1
